Staten Island Rolling Sales File.  All Sales From February 2016 - January 2017.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sales File as of 2/13/2017  Co-op Sales Files as of 2/11/2017,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Neighborhood Names and Descriptive Data as of 5/26/2016,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Building Class Category is based on Building Class at Time of Sale.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BOROUGH, NEIGHBORHOOD , BUILDING CLASS CATEGORY , TAX CLASS AT PRESENT , BLOCK , LOT , EASE-MENT , BUILDING CLASS AT PRESENT , ADDRESS , APARTMENT NUMBER , ZIP CODE , RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET , YEAR BUILT , TAX CLASS AT TIME OF SALE , BUILDING CLASS AT TIME OF SALE , SALE PRICE , SALE DATE 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6320 , 1 ,   , A2 , 184 ALBEE AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 1332 , 1965 , 1 , A2 , 662500 , 42636 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6320 , 12 ,   , A2 , 115 DOWNES AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 936 , 1950 , 1 , A2 , 880000 , 42640 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6320 , 20 ,   , A2 , 129 DOWNES AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1125 , 1965 , 1 , A2 , 480000 , 42416 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6321 , 11 ,   , A1 , 11 ALVINE AVENUE ,   , 10312 , 1 , 0 , 1 , 7250 , 3040 , 2004 , 1 , A1 , 1 , 42513 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6349 , 38 ,   , A1 , 115 BENNETT PLACE ,   , 10312 , 1 , 0 , 1 , 9960 , 5400 , 1985 , 1 , A1 , 1125000 , 42622 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6352 , 17 ,   , A1 , 472 HOLDRIDGE AVENUE ,   , 10312 , 1 , 0 , 1 , 6000 , 3178 , 1985 , 1 , A1 , 800000 , 42682 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6354 , 36 ,   , A2 , 673 BARCLAY AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1120 , 1930 , 1 , A2 , 439000 , 42534 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6356 , 75 ,   , A1 , 4715 HYLAN BOULEVARD ,   , 10312 , 1 , 0 , 1 , 3911 , 2600 , 1995 , 1 , A1 , 0 , 42480 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6357 , 40 ,   , A1 , 24 BENNETT PLACE ,   , 10312 , 1 , 0 , 1 , 12000 , 5928 , 1985 , 1 , A1 , 1175000 , 42465 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6360 , 54 ,   , A1 , 50 RYAN PLACE ,   , 10312 , 1 , 0 , 1 , 6000 , 2013 , 1984 , 1 , A1 , 630000 , 42541 
