"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.date","sale.price.n","gross.sqft","land.sqft","years.built","cs.pricePERsqft"
"98",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6357,40,NA," A1 "," 24 BENNETT PLACE ","   "," 10312 ",1,0,1,1," A1 ",42465,1175000,5928,12000,1985,198.211875843455
"99",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6360,54,NA," A1 "," 50 RYAN PLACE ","   "," 10312 ",1,0,1,1," A1 ",42541,630000,2013,6000,1984,312.965722801788
"101",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6367,40,NA," A1 "," 291 SHIRLEY AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42521,577500,2070,4000,1979,278.985507246377
"102",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6368,21,NA," A1 "," 64 JANSEN STREET ","   "," 10312 ",1,0,1,1," A1 ",42417,614250,1820,6000,1975,337.5
"103",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6370,12,NA," A1 "," 158 WEAVER STREET ","   "," 10312 ",1,0,1,1," A1 ",42667,740000,2600,6000,1975,284.615384615385
"104",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6370,38,NA," A1 "," 272 HOLDRIDGE AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42668,890000,2672,6825,1975,333.083832335329
"107",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,38,NA," A5 "," 6 WINSLOW PLACE ","   "," 10312 ",1,1,1,1," A5 ",42579,651680,2058,7301,2015,316.656948493683
"108",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,40,NA," A5 "," 10 WINSLOW PLACE ","   "," 10312 ",1,0,1,1," A5 ",42556,646588,2058,3442,2015,314.182701652089
"109",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,41,NA," A5 "," 12 WINSLOW PLACE ","   "," 10312 ",1,0,1,1," A5 ",42704,692410,2058,3442,2015,336.448007774538
"110",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,43,NA," A5 "," 18 WINSLOW PLACE ","   "," 10312 ",1,0,1,1," A5 ",42691,682227,2058,3442,2015,331.5
"111",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,44,NA," A5 "," 20 WINSLOW PLACE ","   "," 10312 ",1,0,1,1," A5 ",42580,636406,2058,3442,2015,309.2351797862
"112",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,47,NA," A5 "," 32 WINSLOW PLACE ","   "," 10312 ",1,0,1,1," A5 ",42591,677136,2058,3512,2015,329.026239067055
"113",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,145,NA," A5 "," 26 WINSLOW PLACE ","   "," 10312 ",1,0,1,1," A5 ",42580,651680,2058,3442,2015,316.656948493683
"114",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6373,146,NA," A5 "," 30 WINSLOW PLACE ","   "," 10312 ",1,0,1,1," A5 ",42594,666953,2058,3442,2015,324.078231292517
"116",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6382,18,NA," A2 "," 656 SYCAMORE STREET ","   "," 10312 ",1,0,1,1," A2 ",42692,500000,1064,4000,1940,469.924812030075
"117",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6382,67,NA," A1 "," 139 TALLMAN STREET ","   "," 10312 ",1,0,1,1," A1 ",42465,558000,2275,4000,1980,245.274725274725
"118",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6398,16,NA," A5 "," 5 OCEANVIEW AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42656,385000,1016,2003,1991,378.937007874016
"121",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6401,60,NA," A1 "," 616 BARCLAY AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42429,670000,2520,10000,1999,265.873015873016
"122",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6402,39,NA," A2 "," 10 ALLEN PLACE ","   "," 10312 ",1,0,1,1," A2 ",42597,500000,2040,6000,1952,245.098039215686
"124",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6429,94,NA," A1 "," 5008 AMBOY ROAD ","   "," 10312 ",1,0,1,1," A1 ",42592,749000,1960,15000,1920,382.142857142857
